referrer,views_total,views_unique
github.com,409,65
Google,233,116
vizro.readthedocs.io,92,23
vizro-demo-gapminder.hf.space,83,3
mckinsey.com,47,39
youtube.com,25,4
community.plotly.com,22,7
medium.com,18,5
vizro-demo-visual-vocabulary.hf.space,17,6
vizro.mckinsey.com,17,6
