referrer,views_total,views_unique
github.com,540,102
Google,255,117
vizro.readthedocs.io,171,55
mckinsey.com,41,28
community.plotly.com,34,13
chatgpt.com,34,2
Bing,31,5
medium.com,15,10
glama.ai,13,7
huggingface.co,11,4
