referrer,views_total,views_unique
github.com,647,124
Google,302,120
vizro.readthedocs.io,155,55
Bing,46,7
community.plotly.com,45,18
mckinsey.com,34,22
chatgpt.com,33,1
medium.com,18,11
glama.ai,16,6
huggingface.co,10,3
