referrer,views_total,views_unique
github.com,477,65
Google,213,117
vizro.readthedocs.io,83,26
vizro-demo-gapminder.hf.space,82,2
mckinsey.com,52,38
pypi.org,26,4
youtube.com,25,4
Bing,19,7
vizro-demo-visual-vocabulary.hf.space,17,6
vizro-demo-features.hf.space,15,2
