time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-03 00:00:00+00:00,470,54,383,105
2025-09-04 00:00:00+00:00,570,73,298,110
2025-09-05 00:00:00+00:00,841,94,297,94
2025-09-06 00:00:00+00:00,22,13,115,51
2025-09-07 00:00:00+00:00,20,16,191,62
2025-09-08 00:00:00+00:00,1322,113,403,109
2025-09-09 00:00:00+00:00,1791,132,782,243
2025-09-10 00:00:00+00:00,2061,138,648,212
2025-09-11 00:00:00+00:00,1744,119,591,179
2025-09-12 00:00:00+00:00,1445,121,404,142
2025-09-13 00:00:00+00:00,31,13,133,76
2025-09-14 00:00:00+00:00,14,12,110,64
2025-09-15 00:00:00+00:00,1992,148,764,172
2025-09-16 00:00:00+00:00,659,87,380,112
