referrer,views_total,views_unique
github.com,265,86
Google,147,74
linkedin.com,41,7
vizro.readthedocs.io,36,20
mckinsey.com,34,24
hub.docker.com,7,4
skills.sh,6,1
chatgpt.com,5,4
pypi.org,5,1
community.plotly.com,4,3
