referrer,views_total,views_unique
github.com,316,57
Google,228,113
vizro.readthedocs.io,72,32
l.facebook.com,41,26
mckinsey.com,39,24
community.plotly.com,32,11
Bing,31,16
hub.docker.com,31,9
linkedin.com,28,4
m.facebook.com,26,25
