time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-18 00:00:00+00:00,676,112,382,168
2025-09-19 00:00:00+00:00,2613,186,547,160
2025-09-20 00:00:00+00:00,98,39,80,44
2025-09-21 00:00:00+00:00,279,33,143,60
2025-09-22 00:00:00+00:00,1712,143,544,168
2025-09-23 00:00:00+00:00,1736,146,438,155
2025-09-24 00:00:00+00:00,201,39,327,110
2025-09-25 00:00:00+00:00,440,63,369,112
2025-09-26 00:00:00+00:00,148,37,158,75
2025-09-27 00:00:00+00:00,30,23,72,45
2025-09-28 00:00:00+00:00,43,21,107,45
2025-09-29 00:00:00+00:00,549,71,483,129
2025-09-30 00:00:00+00:00,846,105,350,107
2025-10-01 00:00:00+00:00,1580,119,399,110
