referrer,views_total,views_unique
github.com,212,75
Google,155,86
t.co,78,66
mckinsey.com,43,20
vizro.readthedocs.io,23,15
linkedin.com,9,7
Bing,8,4
search.brave.com,5,3
yandex.ru,4,2
medium.com,3,2
