referrer,views_total,views_unique
github.com,723,129
Google,409,142
vizro.readthedocs.io,152,41
community.plotly.com,81,26
Bing,70,7
glama.ai,40,11
chatgpt.com,34,2
mckinsey.com,30,23
medium.com,24,11
vizro-demo-kpi.hf.space,11,4
