referrer,views_total,views_unique
github.com,305,56
Google,221,99
vizro.readthedocs.io,61,29
community.plotly.com,41,12
mckinsey.com,40,24
hub.docker.com,31,9
Bing,29,15
l.facebook.com,27,16
linkedin.com,24,4
m.facebook.com,15,14
