time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,2305,303,137,43
2026-06-17 00:00:00+00:00,2083,252,190,78
2026-06-18 00:00:00+00:00,1292,182,195,70
2026-06-19 00:00:00+00:00,288,98,89,55
2026-06-20 00:00:00+00:00,281,99,31,19
2026-06-21 00:00:00+00:00,680,114,160,40
2026-06-22 00:00:00+00:00,775,133,180,52
2026-06-23 00:00:00+00:00,717,132,193,59
2026-06-24 00:00:00+00:00,845,134,178,59
2026-06-25 00:00:00+00:00,603,97,107,52
2026-06-26 00:00:00+00:00,304,73,83,39
2026-06-27 00:00:00+00:00,2747,109,130,39
2026-06-28 00:00:00+00:00,313,96,91,33
2026-06-29 00:00:00+00:00,1096,146,198,71
