referrer,views_total,views_unique
github.com,298,67
Google,156,79
mckinsey.com,42,21
vizro.readthedocs.io,42,18
chatgpt.com,27,14
linkedin.com,16,9
tom-doerr.github.io,10,4
doubao.com,5,1
Bing,4,4
l.threads.com,3,3
