referrer,views_total,views_unique
github.com,510,88
Google,222,122
vizro.readthedocs.io,163,37
mckinsey.com,37,25
community.plotly.com,29,11
linkedin.com,26,11
statics.teams.cdn.office.net,21,6
skillsplayground.com,14,2
Bing,13,9
medium.com,9,5
