referrer,views_total,views_unique
github.com,271,72
Google,137,87
mckinsey.com,47,25
vizro.readthedocs.io,37,14
chatgpt.com,14,6
linkedin.com,11,8
t.co,6,6
skills.sh,6,1
Bing,5,4
teams.public.onecdn.static.microsoft,4,4
