referrer,views_total,views_unique
github.com,386,126
Google,296,139
vizro.readthedocs.io,263,52
away.vk.com,89,68
Bing,70,3
hub.docker.com,62,26
community.plotly.com,50,23
mckinsey.com,31,25
swe-bench-plus.turing.com,13,1
m.vk.com,12,10
