time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-23 00:00:00+00:00,1137,89,280,72
2025-06-24 00:00:00+00:00,1363,101,382,117
2025-06-25 00:00:00+00:00,1085,98,424,124
2025-06-26 00:00:00+00:00,849,73,285,105
2025-06-27 00:00:00+00:00,1000,93,562,118
2025-06-28 00:00:00+00:00,25,9,39,30
2025-06-29 00:00:00+00:00,26,12,55,23
2025-06-30 00:00:00+00:00,1192,112,379,116
2025-07-01 00:00:00+00:00,1355,99,453,101
2025-07-02 00:00:00+00:00,1088,102,472,111
2025-07-03 00:00:00+00:00,531,69,367,108
2025-07-04 00:00:00+00:00,421,50,203,61
2025-07-05 00:00:00+00:00,75,11,285,149
2025-07-06 00:00:00+00:00,13,12,171,92
