referrer,views_total,views_unique
github.com,490,105
vizro.readthedocs.io,295,74
Google,226,130
community.plotly.com,60,24
mckinsey.com,50,33
Bing,33,5
statics.teams.cdn.office.net,15,11
medium.com,13,10
youtube.com,11,6
vizro.mckinsey.com,9,8
