referrer,views_total,views_unique
github.com,279,68
Google,161,89
mckinsey.com,47,25
vizro.readthedocs.io,46,16
chatgpt.com,29,11
linkedin.com,8,7
t.co,6,6
skills.sh,6,1
Bing,5,4
Baidu,5,3
