referrer,views_total,views_unique
github.com,574,120
Google,225,111
vizro.readthedocs.io,133,44
l.threads.com,55,37
mckinsey.com,30,25
linkedin.com,24,12
community.plotly.com,24,6
medium.com,14,9
statics.teams.cdn.office.net,14,4
Bing,9,7
