referrer,views_total,views_unique
github.com,444,105
vizro.readthedocs.io,237,57
Google,195,118
l.threads.com,88,57
mckinsey.com,59,31
medium.com,32,22
linkedin.com,31,7
Bing,17,12
community.plotly.com,14,8
hellodash.pythonanywhere.com,13,3
