referrer,views_total,views_unique
Google,297,136
github.com,291,70
vizro.readthedocs.io,50,20
mckinsey.com,32,26
community.plotly.com,25,10
medium.com,24,8
huggingface.co,22,4
vizro.mckinsey.com,18,6
search.brave.com,16,3
hellodash.pythonanywhere.com,15,2
