time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-23 00:00:00+00:00,1354,129,236,97
2026-01-24 00:00:00+00:00,42,23,43,33
2026-01-25 00:00:00+00:00,23,13,38,27
2026-01-26 00:00:00+00:00,1003,108,198,47
2026-01-27 00:00:00+00:00,398,56,204,64
2026-01-28 00:00:00+00:00,878,104,257,66
2026-01-29 00:00:00+00:00,36,25,220,63
2026-01-30 00:00:00+00:00,108,28,106,67
2026-01-31 00:00:00+00:00,18,13,74,31
2026-02-01 00:00:00+00:00,37,21,59,34
2026-02-02 00:00:00+00:00,823,106,203,56
2026-02-03 00:00:00+00:00,1293,149,272,61
2026-02-04 00:00:00+00:00,1362,170,179,55
2026-02-05 00:00:00+00:00,2396,208,344,69
