referrer,views_total,views_unique
github.com,357,93
Google,318,112
vizro.readthedocs.io,186,64
community.plotly.com,63,19
Bing,55,11
mckinsey.com,42,31
statics.teams.cdn.office.net,41,11
hub.docker.com,32,18
medium.com,30,8
brix.quantumblack.com,27,2
