time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-19 00:00:00+00:00,1284,132,253,80
2026-01-20 00:00:00+00:00,965,116,268,105
2026-01-21 00:00:00+00:00,1364,139,388,102
2026-01-22 00:00:00+00:00,1425,134,298,76
2026-01-23 00:00:00+00:00,1354,129,236,97
2026-01-24 00:00:00+00:00,42,23,43,33
2026-01-25 00:00:00+00:00,23,13,38,27
2026-01-26 00:00:00+00:00,1003,108,198,47
2026-01-27 00:00:00+00:00,398,56,204,64
2026-01-28 00:00:00+00:00,878,104,257,66
2026-01-29 00:00:00+00:00,36,25,220,63
2026-01-30 00:00:00+00:00,108,28,106,67
2026-01-31 00:00:00+00:00,18,13,74,31
2026-02-01 00:00:00+00:00,37,21,59,34
