time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,74,43,82,67
2026-05-24 00:00:00+00:00,194,67,100,82
2026-05-25 00:00:00+00:00,1105,248,112,60
2026-05-26 00:00:00+00:00,7390,353,86,55
2026-05-27 00:00:00+00:00,7759,647,74,56
2026-05-28 00:00:00+00:00,3008,415,83,63
2026-05-29 00:00:00+00:00,246,67,102,58
2026-05-30 00:00:00+00:00,100,52,101,83
2026-05-31 00:00:00+00:00,88,40,68,43
2026-06-01 00:00:00+00:00,484,67,313,245
2026-06-02 00:00:00+00:00,1036,125,126,55
2026-06-03 00:00:00+00:00,801,135,95,53
2026-06-04 00:00:00+00:00,1060,184,69,37
2026-06-05 00:00:00+00:00,478,107,201,71
