referrer,views_total,views_unique
github.com,316,89
Google,290,126
vizro.readthedocs.io,163,64
community.plotly.com,51,19
mckinsey.com,40,25
medium.com,36,10
hub.docker.com,33,20
brix.quantumblack.com,27,2
Bing,26,11
vizro.mckinsey.com,23,5
