referrer,views_total,views_unique
github.com,309,89
Google,184,90
vizro.readthedocs.io,141,39
mckinsey.com,52,29
Bing,19,7
community.plotly.com,16,7
statics.teams.cdn.office.net,14,9
l.threads.com,6,5
pypi.org,6,1
linkedin.com,5,5
