time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-05 00:00:00+00:00,1728,147,392,99
2025-12-06 00:00:00+00:00,33,11,96,49
2025-12-07 00:00:00+00:00,21,12,65,41
2025-12-08 00:00:00+00:00,520,70,264,89
2025-12-09 00:00:00+00:00,502,65,286,90
2025-12-10 00:00:00+00:00,790,87,176,67
2025-12-11 00:00:00+00:00,1015,107,306,85
2025-12-12 00:00:00+00:00,355,43,193,71
2025-12-13 00:00:00+00:00,36,18,37,28
2025-12-14 00:00:00+00:00,64,14,131,39
2025-12-15 00:00:00+00:00,1804,127,386,77
2025-12-16 00:00:00+00:00,278,59,167,46
2025-12-17 00:00:00+00:00,957,96,251,69
2025-12-18 00:00:00+00:00,2386,179,514,97
