referrer,views_total,views_unique
github.com,283,69
Google,149,86
mckinsey.com,50,25
vizro.readthedocs.io,44,15
chatgpt.com,22,9
linkedin.com,12,9
t.co,7,7
skills.sh,6,1
Bing,5,4
Baidu,5,3
