referrer,views_total,views_unique
github.com,504,149
Google,295,120
vizro.readthedocs.io,207,68
away.vk.com,59,46
hub.docker.com,45,26
mckinsey.com,42,33
community.plotly.com,41,20
medium.com,27,16
vizro.mckinsey.com,19,10
pulsemcp.com,17,10
