time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-19 00:00:00+00:00,1700,145,1052,570
2025-08-20 00:00:00+00:00,1584,130,2021,1042
2025-08-21 00:00:00+00:00,3134,176,1293,425
2025-08-22 00:00:00+00:00,292,35,750,451
2025-08-23 00:00:00+00:00,183,27,208,131
2025-08-24 00:00:00+00:00,26,16,142,104
2025-08-25 00:00:00+00:00,652,69,479,152
2025-08-26 00:00:00+00:00,1113,107,706,187
2025-08-27 00:00:00+00:00,1184,109,561,164
2025-08-28 00:00:00+00:00,873,98,386,139
2025-08-29 00:00:00+00:00,1090,103,359,129
2025-08-30 00:00:00+00:00,29,9,79,53
2025-08-31 00:00:00+00:00,18,10,104,61
2025-09-01 00:00:00+00:00,802,88,354,123
