time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-16 00:00:00+00:00,676,92,253,68
2025-10-17 00:00:00+00:00,412,88,546,318
2025-10-18 00:00:00+00:00,141,45,219,154
2025-10-19 00:00:00+00:00,157,35,143,106
2025-10-20 00:00:00+00:00,603,79,415,191
2025-10-21 00:00:00+00:00,623,84,333,151
2025-10-22 00:00:00+00:00,1431,124,522,163
2025-10-23 00:00:00+00:00,499,66,253,112
2025-10-24 00:00:00+00:00,202,42,140,68
2025-10-25 00:00:00+00:00,33,19,64,45
2025-10-26 00:00:00+00:00,58,27,89,64
2025-10-27 00:00:00+00:00,777,92,398,137
2025-10-28 00:00:00+00:00,1123,106,395,101
2025-10-29 00:00:00+00:00,1209,79,306,106
