referrer,views_total,views_unique
github.com,503,104
vizro.readthedocs.io,301,76
Google,253,142
community.plotly.com,69,25
mckinsey.com,47,36
Bing,19,4
statics.teams.cdn.office.net,17,13
vizro.mckinsey.com,13,9
medium.com,12,9
hub.docker.com,10,6
