time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,801,135,95,53
2026-06-04 00:00:00+00:00,1060,184,69,37
2026-06-05 00:00:00+00:00,478,107,201,71
2026-06-06 00:00:00+00:00,2230,113,85,39
2026-06-07 00:00:00+00:00,134,55,81,41
2026-06-08 00:00:00+00:00,571,107,95,40
2026-06-09 00:00:00+00:00,595,111,154,60
2026-06-10 00:00:00+00:00,1573,143,85,43
2026-06-11 00:00:00+00:00,898,133,158,68
2026-06-12 00:00:00+00:00,948,167,232,84
2026-06-13 00:00:00+00:00,185,74,115,83
2026-06-14 00:00:00+00:00,511,110,67,36
2026-06-15 00:00:00+00:00,698,145,80,46
2026-06-16 00:00:00+00:00,2305,303,137,43
