time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-15 00:00:00+00:00,29,19,81,40
2026-02-16 00:00:00+00:00,968,123,179,46
2026-02-17 00:00:00+00:00,1052,117,304,64
2026-02-18 00:00:00+00:00,1521,161,380,76
2026-02-19 00:00:00+00:00,1706,146,323,69
2026-02-20 00:00:00+00:00,523,73,205,78
2026-02-21 00:00:00+00:00,33,20,96,40
2026-02-22 00:00:00+00:00,114,41,74,27
2026-02-23 00:00:00+00:00,2587,132,406,51
2026-02-24 00:00:00+00:00,1502,160,699,89
2026-02-25 00:00:00+00:00,1350,135,328,62
2026-02-26 00:00:00+00:00,1280,136,384,71
2026-02-27 00:00:00+00:00,720,91,485,83
2026-02-28 00:00:00+00:00,46,23,78,38
