time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-20 00:00:00+00:00,22,12,36,26
2025-12-21 00:00:00+00:00,14,7,51,34
2025-12-22 00:00:00+00:00,36,14,60,41
2025-12-23 00:00:00+00:00,23,12,102,67
2025-12-24 00:00:00+00:00,22,9,84,57
2025-12-25 00:00:00+00:00,11,7,62,48
2025-12-26 00:00:00+00:00,16,9,55,29
2025-12-27 00:00:00+00:00,18,5,55,35
2025-12-28 00:00:00+00:00,29,13,94,32
2025-12-29 00:00:00+00:00,72,16,56,34
2025-12-30 00:00:00+00:00,29,15,60,39
2025-12-31 00:00:00+00:00,17,12,45,34
2026-01-01 00:00:00+00:00,108,25,40,22
2026-01-02 00:00:00+00:00,26,14,85,39
