referrer,views_total,views_unique
github.com,372,62
Google,269,113
vizro-demo-gapminder.hf.space,83,3
vizro.readthedocs.io,58,23
mckinsey.com,49,38
youtube.com,31,5
community.plotly.com,23,7
huggingface.co,23,3
medium.com,18,6
vizro.mckinsey.com,17,6
