time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-11 00:00:00+00:00,1273,57,221,75
2025-07-12 00:00:00+00:00,82,10,48,31
2025-07-13 00:00:00+00:00,15,8,129,38
2025-07-14 00:00:00+00:00,1304,99,479,109
2025-07-15 00:00:00+00:00,1636,102,498,76
2025-07-16 00:00:00+00:00,984,77,353,61
2025-07-17 00:00:00+00:00,282,38,212,71
2025-07-18 00:00:00+00:00,438,40,247,74
2025-07-19 00:00:00+00:00,16,10,87,33
2025-07-20 00:00:00+00:00,19,11,69,34
2025-07-21 00:00:00+00:00,132,31,157,65
2025-07-22 00:00:00+00:00,930,71,369,93
2025-07-23 00:00:00+00:00,1887,108,627,141
2025-07-24 00:00:00+00:00,2674,140,496,111
