referrer,views_total,views_unique
github.com,573,70
Google,473,199
vizro.readthedocs.io,186,33
vizro.mckinsey.com,49,18
Bing,39,10
mckinsey.com,34,18
pypi.org,17,2
youtube.com,15,3
community.plotly.com,11,6
chatgpt.com,11,2
