time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-03 00:00:00+00:00,110,38,106,50
2026-04-04 00:00:00+00:00,60,34,69,35
2026-04-05 00:00:00+00:00,57,28,63,39
2026-04-06 00:00:00+00:00,219,56,96,37
2026-04-07 00:00:00+00:00,1327,135,248,65
2026-04-08 00:00:00+00:00,1528,162,273,60
2026-04-09 00:00:00+00:00,746,77,321,55
2026-04-10 00:00:00+00:00,645,112,187,66
2026-04-11 00:00:00+00:00,112,39,70,34
2026-04-12 00:00:00+00:00,76,32,86,49
2026-04-13 00:00:00+00:00,1275,159,204,57
2026-04-14 00:00:00+00:00,736,193,178,52
2026-04-15 00:00:00+00:00,492,72,186,67
2026-04-16 00:00:00+00:00,335,63,213,62
