referrer,views_total,views_unique
github.com,333,91
Google,115,67
vizro.readthedocs.io,35,16
mckinsey.com,33,25
Bing,10,3
linkedin.com,4,3
medium.com,4,3
l.threads.com,3,3
community.plotly.com,3,2
yandex.ru,3,2
