referrer,views_total,views_unique
github.com,415,136
Google,309,145
vizro.readthedocs.io,257,49
Bing,70,3
hub.docker.com,64,26
away.vk.com,57,45
community.plotly.com,49,23
mckinsey.com,38,30
swe-bench-plus.turing.com,13,1
brix.quantumblack.com,12,4
