referrer,views_total,views_unique
github.com,464,86
Google,247,102
vizro.readthedocs.io,195,71
community.plotly.com,68,26
mckinsey.com,44,35
swe-bench-plus.turing.com,35,4
vizro.mckinsey.com,29,6
medium.com,25,12
huggingface.co,21,3
hub.docker.com,20,13
