referrer,views_total,views_unique
github.com,213,92
Google,138,63
vizro.readthedocs.io,71,30
mckinsey.com,32,21
linkedin.com,12,8
lnkd.in,8,1
Bing,4,1
community.plotly.com,2,2
mckinsey.sharepoint.com,2,2
statics.teams.cdn.office.net,2,2
