referrer,views_total,views_unique
Google,234,77
github.com,121,48
vizro.readthedocs.io,60,24
linkedin.com,36,6
Bing,32,13
mckinsey.com,29,21
vizro-demo-visual-vocabulary.hf.space,19,2
hub.docker.com,17,8
levelup.gitconnected.com,14,10
community.plotly.com,11,7
