referrer,views_total,views_unique
github.com,305,83
vizro.readthedocs.io,196,37
Google,179,83
mckinsey.com,49,32
Bing,23,9
community.plotly.com,17,8
statics.teams.cdn.office.net,14,9
linkedin.com,11,11
pypi.org,6,1
l.threads.com,4,4
