referrer,views_total,views_unique
Google,62,28
github.com,30,12
community.plotly.com,11,5
t.co,8,6
linkedin.com,7,6
vizro.readthedocs.io,7,4
Bing,4,3
vizro.mckinsey.com,3,3
mckinsey.com,3,3
medium.com,2,1
