referrer,views_total,views_unique
github.com,336,80
Google,301,140
vizro.readthedocs.io,248,67
community.plotly.com,65,22
mckinsey.com,47,30
Bing,46,10
medium.com,33,9
hub.docker.com,24,14
pulsemcp.com,20,7
statics.teams.cdn.office.net,15,4
