time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-10 00:00:00+00:00,2061,138,648,212
2025-09-11 00:00:00+00:00,1744,119,591,179
2025-09-12 00:00:00+00:00,1445,121,404,142
2025-09-13 00:00:00+00:00,31,13,133,76
2025-09-14 00:00:00+00:00,14,12,110,64
2025-09-15 00:00:00+00:00,1992,148,764,172
2025-09-16 00:00:00+00:00,668,93,399,119
2025-09-17 00:00:00+00:00,879,123,534,231
2025-09-18 00:00:00+00:00,676,112,382,168
2025-09-19 00:00:00+00:00,2613,186,547,160
2025-09-20 00:00:00+00:00,98,39,80,44
2025-09-21 00:00:00+00:00,279,33,143,60
2025-09-22 00:00:00+00:00,1712,143,544,168
2025-09-23 00:00:00+00:00,1725,139,426,148
