time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,2396,208,344,69
2026-02-06 00:00:00+00:00,1743,184,355,65
2026-02-07 00:00:00+00:00,38,24,78,44
2026-02-08 00:00:00+00:00,33,17,54,32
2026-02-09 00:00:00+00:00,313,51,178,60
2026-02-10 00:00:00+00:00,531,43,187,79
2026-02-11 00:00:00+00:00,359,38,232,87
2026-02-12 00:00:00+00:00,68,23,139,72
2026-02-13 00:00:00+00:00,1830,151,136,37
2026-02-14 00:00:00+00:00,49,23,107,42
2026-02-15 00:00:00+00:00,29,19,81,40
2026-02-16 00:00:00+00:00,968,123,179,46
2026-02-17 00:00:00+00:00,1052,117,304,64
2026-02-18 00:00:00+00:00,1521,161,380,76
