time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-24 00:00:00+00:00,1502,160,699,89
2026-02-25 00:00:00+00:00,1350,135,328,62
2026-02-26 00:00:00+00:00,1280,136,384,71
2026-02-27 00:00:00+00:00,720,91,485,83
2026-02-28 00:00:00+00:00,46,23,78,38
2026-03-01 00:00:00+00:00,67,23,64,33
2026-03-02 00:00:00+00:00,788,97,284,78
2026-03-03 00:00:00+00:00,2065,181,407,72
2026-03-04 00:00:00+00:00,1240,158,419,63
2026-03-05 00:00:00+00:00,1294,162,312,74
2026-03-06 00:00:00+00:00,637,140,249,56
2026-03-07 00:00:00+00:00,138,107,46,34
2026-03-08 00:00:00+00:00,49,31,42,25
2026-03-09 00:00:00+00:00,1190,124,367,73
