referrer,views_total,views_unique
github.com,314,68
Google,292,133
vizro.readthedocs.io,49,21
mckinsey.com,35,29
community.plotly.com,24,10
medium.com,21,7
vizro.mckinsey.com,19,7
huggingface.co,19,3
search.brave.com,18,4
hellodash.pythonanywhere.com,15,2
