time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-02 00:00:00+00:00,33,15,87,54
2025-11-03 00:00:00+00:00,1483,129,307,123
2025-11-04 00:00:00+00:00,1541,115,428,121
2025-11-05 00:00:00+00:00,501,58,271,89
2025-11-06 00:00:00+00:00,2005,130,413,145
2025-11-07 00:00:00+00:00,298,112,245,83
2025-11-08 00:00:00+00:00,53,27,883,801
2025-11-09 00:00:00+00:00,134,27,111,61
2025-11-10 00:00:00+00:00,481,59,293,96
2025-11-11 00:00:00+00:00,1552,134,376,117
2025-11-12 00:00:00+00:00,1041,101,295,109
2025-11-13 00:00:00+00:00,573,95,309,108
2025-11-14 00:00:00+00:00,281,58,241,83
2025-11-15 00:00:00+00:00,29,8,60,44
