referrer,views_total,views_unique
Google,226,75
github.com,113,48
vizro.readthedocs.io,60,25
linkedin.com,37,6
Bing,33,15
mckinsey.com,32,24
vizro-demo-visual-vocabulary.hf.space,19,2
levelup.gitconnected.com,14,10
hub.docker.com,14,7
community.plotly.com,11,7
