referrer,views_total,views_unique
github.com,542,111
Google,246,118
vizro.readthedocs.io,136,38
mckinsey.com,33,28
linkedin.com,26,13
community.plotly.com,21,6
l.threads.com,20,10
statics.teams.cdn.office.net,15,5
medium.com,14,9
Bing,11,7
