referrer,views_total,views_unique
github.com,376,91
Google,160,88
mckinsey.com,37,21
vizro.readthedocs.io,33,26
Bing,7,6
community.plotly.com,7,4
statics.teams.cdn.office.net,6,5
pypi.org,6,1
linkedin.com,4,4
l.threads.com,4,3
