referrer,views_total,views_unique
github.com,442,84
Google,194,113
vizro.readthedocs.io,136,30
mckinsey.com,41,19
linkedin.com,38,8
community.plotly.com,10,7
statics.teams.cdn.office.net,10,5
Bing,8,5
skills.sh,7,1
medium.com,5,4
