time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,305,84,88,45
2026-08-30 00:00:00+00:00,775,72,93,69
2026-08-31 00:00:00+00:00,3356,121,158,64
2026-09-01 00:00:00+00:00,2426,89,159,82
2026-09-02 00:00:00+00:00,1559,55,136,55
2026-09-03 00:00:00+00:00,193,51,110,54
2026-09-04 00:00:00+00:00,462,103,150,53
2026-09-05 00:00:00+00:00,120,61,59,28
2026-09-06 00:00:00+00:00,94,60,47,29
2026-09-07 00:00:00+00:00,334,83,99,33
2026-09-08 00:00:00+00:00,169,72,74,45
2026-09-09 00:00:00+00:00,986,82,139,48
2026-09-10 00:00:00+00:00,463,90,136,56
2026-09-11 00:00:00+00:00,659,110,148,46
