referrer,views_total,views_unique
Google,650,628
github.com,186,65
vizro.readthedocs.io,33,18
mckinsey.com,29,19
Bing,9,4
yandex.ru,8,5
linkedin.com,7,4
dashboard.gitguardian.com,5,2
chatgpt.com,3,3
community.plotly.com,2,2
