time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-22 00:00:00+00:00,1712,143,544,168
2025-09-23 00:00:00+00:00,1736,146,438,155
2025-09-24 00:00:00+00:00,201,39,327,110
2025-09-25 00:00:00+00:00,440,63,369,112
2025-09-26 00:00:00+00:00,148,37,158,75
2025-09-27 00:00:00+00:00,30,23,72,45
2025-09-28 00:00:00+00:00,43,21,107,45
2025-09-29 00:00:00+00:00,549,71,483,129
2025-09-30 00:00:00+00:00,846,105,350,107
2025-10-01 00:00:00+00:00,1582,121,404,113
2025-10-02 00:00:00+00:00,450,46,244,101
2025-10-03 00:00:00+00:00,33,20,142,81
2025-10-04 00:00:00+00:00,21,14,137,40
2025-10-05 00:00:00+00:00,17,12,139,41
