referrer,views_total,views_unique
github.com,404,128
Google,286,132
vizro.readthedocs.io,248,53
Bing,94,4
hub.docker.com,71,23
community.plotly.com,45,23
mckinsey.com,41,27
brix.quantumblack.com,12,4
glama.ai,11,5
vizro-demo-visual-vocabulary.hf.space,11,4
