referrer,views_total,views_unique
Google,195,141
github.com,166,69
t.co,111,94
mckinsey.com,41,19
vizro.readthedocs.io,38,21
Bing,9,5
yandex.ru,5,3
linkedin.com,3,3
app.readthedocs.org,3,1
chatgpt.com,2,2
