time_iso8601,stars_cumulative
2024-03-07 00:00:00+00:00,2238
2024-03-08 00:00:00+00:00,2239
2024-03-11 00:00:00+00:00,2240
2024-03-12 00:00:00+00:00,2241
2024-03-13 00:00:00+00:00,2242
2024-03-15 00:00:00+00:00,2243
2024-03-18 00:00:00+00:00,2248
2024-03-19 00:00:00+00:00,2249
2024-03-20 00:00:00+00:00,2252
2024-03-21 00:00:00+00:00,2255
2024-03-22 00:00:00+00:00,2256
2024-03-23 00:00:00+00:00,2259
2024-03-26 00:00:00+00:00,2262
2024-03-27 00:00:00+00:00,2263
2024-03-29 00:00:00+00:00,2266
2024-03-30 00:00:00+00:00,2267
2024-03-31 00:00:00+00:00,2268
2024-04-02 00:00:00+00:00,2269
2024-04-03 00:00:00+00:00,2270
2024-04-05 00:00:00+00:00,2272
2024-04-06 00:00:00+00:00,2274
2024-04-07 00:00:00+00:00,2277
2024-04-08 00:00:00+00:00,2278
2024-04-09 00:00:00+00:00,2280
2024-04-10 00:00:00+00:00,2282
2024-04-11 00:00:00+00:00,2285
2024-04-14 00:00:00+00:00,2286
2024-04-15 00:00:00+00:00,2287
2024-04-16 00:00:00+00:00,2288
2024-04-17 00:00:00+00:00,2290
2024-04-19 00:00:00+00:00,2292
2024-04-22 00:00:00+00:00,2293
2024-04-27 00:00:00+00:00,2294
2024-05-01 00:00:00+00:00,2296
2024-05-03 00:00:00+00:00,2298
2024-05-04 00:00:00+00:00,2308
2024-05-05 00:00:00+00:00,2309
2024-05-06 00:00:00+00:00,2311
2024-05-07 00:00:00+00:00,2312
2024-05-08 00:00:00+00:00,2313
2024-05-12 00:00:00+00:00,2315
2024-05-13 00:00:00+00:00,2317
2024-05-14 00:00:00+00:00,2318
2024-05-16 00:00:00+00:00,2320
2024-05-17 00:00:00+00:00,2322
2024-05-18 00:00:00+00:00,2326
2024-05-19 00:00:00+00:00,2329
2024-05-20 00:00:00+00:00,2334
2024-05-21 00:00:00+00:00,2335
2024-05-22 00:00:00+00:00,2338
2024-05-23 00:00:00+00:00,2341
2024-05-24 00:00:00+00:00,2344
2024-05-25 00:00:00+00:00,2354
2024-05-26 00:00:00+00:00,2357
2024-05-27 00:00:00+00:00,2364
2024-05-28 00:00:00+00:00,2366
2024-05-29 00:00:00+00:00,2371
2024-05-31 00:00:00+00:00,2373
2024-06-01 00:00:00+00:00,2374
2024-06-02 00:00:00+00:00,2375
2024-06-03 00:00:00+00:00,2377
2024-06-05 00:00:00+00:00,2378
2024-06-06 00:00:00+00:00,2380
2024-06-09 00:00:00+00:00,2382
2024-06-10 00:00:00+00:00,2383
2024-06-11 00:00:00+00:00,2384
2024-06-13 00:00:00+00:00,2385
2024-06-14 00:00:00+00:00,2386
2024-06-15 00:00:00+00:00,2387
2024-06-16 00:00:00+00:00,2388
2024-06-17 00:00:00+00:00,2392
2024-06-18 00:00:00+00:00,2393
2024-06-19 00:00:00+00:00,2395
2024-06-23 00:00:00+00:00,2399
2024-06-25 00:00:00+00:00,2401
2024-06-26 00:00:00+00:00,2403
2024-06-27 00:00:00+00:00,2404
2024-06-29 00:00:00+00:00,2405
2024-07-01 00:00:00+00:00,2407
2024-07-02 00:00:00+00:00,2409
2024-07-03 00:00:00+00:00,2410
2024-07-04 00:00:00+00:00,2414
2024-07-06 00:00:00+00:00,2415
2024-07-07 00:00:00+00:00,2416
2024-07-09 00:00:00+00:00,2418
2024-07-10 00:00:00+00:00,2420
2024-07-11 00:00:00+00:00,2423
2024-07-12 00:00:00+00:00,2425
2024-07-13 00:00:00+00:00,2427
2024-07-14 00:00:00+00:00,2429
2024-07-15 00:00:00+00:00,2430
2024-07-16 00:00:00+00:00,2431
2024-07-18 00:00:00+00:00,2432
2024-07-21 00:00:00+00:00,2433
